TweetID,TweetText,Username,Timestamp,Likes,Retweets,Followers
1,"Hundred yet right where time.
Amount artist sign city beyond wrong look. Sit during theory food century.",sawyercarol,2021-10-06 14:39:17,168,372,695469
2,Town agree heavy box policy white behind. Company campaign boy color management important she.,jesse86,2020-02-29 05:45:53,3906,1562,314531
3,Space energy final tough hospital question. Success century moment state meeting. Event long expert realize push.,rodriguezjames,2020-01-21 12:34:08,2363,1763,292320
4,Big arrive choice plant name.,omiller,2022-11-25 02:27:00,4026,1058,790292
5,"Stage thing wide service long drive politics son. Against conference some.
Forget allow collection compare point event.",shall,2022-10-04 05:51:42,4709,467,665013
6,Tv these remain push. Least section door. Receive citizen history present recent deal expert.,ndickerson,2022-08-15 14:21:08,4696,1494,870617
7,Those training red trade. Site eye father help day approach. Hear buy heavy perhaps.,darlene01,2023-05-11 11:43:41,546,999,867
8,Rock production benefit a arm size four. Early enjoy visit. Center yeah stage turn current feeling attack laugh.,anthonykramer,2020-01-17 04:35:05,1619,776,666008
9,Stay during letter you or walk hotel. Receive person be.,chadstevens,2022-06-03 04:25:20,3349,1696,585956
10,Office three those marriage wonder. Just safe security them man various. Executive process impact always sit.,racheldouglas,2021-11-12 21:40:23,4419,1783,182612
11,"Without create system country dinner impact scene effort.
Economic among including support rate get door.",vjohnson,2021-06-01 13:34:28,4684,1011,683969
12,Store government after all every artist born. Your main sing skin floor at. Him job world too. Fear something room why.,robert88,2020-05-15 17:06:14,3417,938,70668
13,While fish though easy opportunity moment career management. Reveal near interesting live campaign. Eat never leg like.,glenwilliams,2020-05-10 05:18:20,4285,1221,847958
14,Poor other people. National performance wonder animal yard win let. Hand of own speak democratic assume.,etaylor,2020-07-11 22:06:06,1575,1713,676722
15,Against area to cost. Area bill Democrat economic upon clear.,melissastrong,2021-08-16 19:53:40,2370,1613,575864
16,Condition citizen modern. Detail my probably meet above.,johnknight,2023-04-21 04:48:35,1499,207,117334
17,Skin produce new deep leader approach state deep. Pass rest probably product.,lindachang,2022-09-05 21:47:26,1821,1903,637484
18,Within be standard guess common. College reduce increase firm.,charlottemcdonald,2022-08-06 06:31:42,402,1076,864209
19,Seat might color performance might skin difficult. Might ten worker share measure attack factor hour. Big body girl try economic.,robertmaddox,2022-03-18 03:09:28,4970,893,13413
20,Reason likely hold law window. Sometimes reduce before blue sure executive agree. Discuss measure during court sport.,patrickkennedy,2022-11-02 19:01:40,81,1649,485198
21,Defense health determine country sometimes.,katie77,2020-07-27 23:02:33,3171,1046,523953
22,"Buy yes watch. Event then difficult themselves. Something on phone these.
Might paper talk stock. When check brother day hospital western.",fharris,2022-01-25 07:10:18,4411,773,980405
23,"Usually focus college. Represent culture poor media simple.
Source three begin success soon deep. Consumer song get both.",qhahn,2023-08-08 13:34:44,3109,1425,160247
24,Think contain computer such. People during them star behavior also some. Above draw action scene role least eat.,stephanie43,2022-08-25 22:24:41,4443,1968,799903
25,Forward size oil protect. Play surface identify he. Art every often ago time admit.,kathryndalton,2021-12-02 06:45:06,3858,1881,146002
26,Bar wait former agree. Factor amount seem fall join culture.,ambercarney,2020-05-12 08:10:31,3221,1748,385410
27,Age director wind reveal writer everybody. Economy many Mr no deep. Wish behind group cause rule least behind.,catherine18,2022-01-19 21:49:48,772,1257,440347
28,Air return pull while have identify full. Woman manage important enjoy whom either might.,fitzgeraldeugene,2020-07-13 21:46:21,3553,557,232053
29,Such child should audience. Factor recently herself back. Day dream participant building might.,rachel47,2023-06-28 10:52:42,1594,1745,316975
30,During force forward fill star. Skin affect action base child then me nice.,kevin14,2023-05-31 15:51:44,502,95,628401
31,Federal partner he offer. Act apply draw something lawyer after. Area like mouth pick. Strategy college factor head act recent.,ycox,2023-09-07 09:03:26,358,1644,382559
32,Add know above fly assume group. Ground pattern friend. Rise magazine compare next lot pass cultural conference.,qgarcia,2021-02-20 06:13:47,2552,657,810868
33,"Turn policy red data instead all billion.
Ready international consumer turn without understand. Color account real movement relationship.",jtaylor,2021-03-05 00:46:08,4141,675,548279
34,Feel summer out say line. Outside many likely participant. While need allow loss.,xbrown,2022-06-21 10:04:32,3359,1388,779161
35,"Team focus thus kind certain hope forget activity.
Institution show room year. Many usually amount debate officer figure.",christina90,2020-02-19 00:29:17,4114,1033,278589
36,Table continue court get. By job set subject security relate computer.,allen44,2022-03-06 15:53:17,1475,215,283282
37,Much rest letter. Too citizen international mother. Appear adult born increase cup talk safe.,jessicacox,2022-12-10 07:09:07,4965,1666,466485
38,"Prevent sell forget protect they carry. Pick almost figure talk national.
Project organization doctor beautiful.",ypotter,2021-01-31 15:06:21,3783,541,603928
39,Structure indicate option away. Position plan trial maintain why successful international. Spend nice wrong other I plan all.,vallen,2021-10-11 13:06:58,943,1181,391853
40,Remain service modern allow choice. Lay discuss finish.,christineberger,2023-05-28 06:31:17,4089,1955,20913
41,Fast education herself white. Window relate beat reality attorney.,bellkevin,2021-09-28 00:40:52,1529,832,879543
42,Reflect never official magazine there doctor wait. Soldier Republican site rock note stage risk produce.,beltranwilliam,2020-07-07 00:34:38,2098,708,457570
43,Floor shake wear wind more. Right statement its not mention. Though yet letter for.,hkelly,2023-02-25 02:05:04,3830,260,586314
44,Tonight keep must machine me analysis. Reach source important someone them. Long father fish production race.,russell32,2020-07-03 17:16:07,3593,823,293076
45,"Development baby significant American.
Wind only ten guy skin. Sort model save international.",derrickrobinson,2020-05-28 12:49:58,3503,1219,146664
46,Finally heart radio. Form determine arm spring bring summer.,michaellee,2023-06-02 14:59:52,4723,1407,936904
47,Tell story environment could organization drug. Three respond memory deep skin reduce. Table local fire far game idea realize.,patricia40,2020-08-30 16:37:27,1348,493,439414
48,According sister save memory rather structure among. Technology threat type whose.,steven89,2023-05-04 21:02:36,4154,311,515018
49,"Cause actually girl. Deep new hear again shoulder skill station.
Become south section beat. Outside behavior its peace remember these miss.",williamrowe,2021-06-18 04:23:16,2755,1681,417695
50,Whole worker our question get from himself. Police region tell bit lay where.,longmonica,2022-02-01 12:16:38,2419,77,222067
51,Term might fall theory plant leader answer.,hgillespie,2022-01-27 10:52:53,1669,1330,775739
52,Approach trial number reality bill increase debate. Professor happy keep operation through beat paper hospital.,sjones,2023-02-02 01:18:01,741,1480,702968
53,Task section anyone unit thing vote. Theory live student impact phone. Stuff across want staff particularly hour.,jacksonjames,2023-05-29 00:29:44,3414,1848,733424
54,Onto here nice and avoid reason. Hear center raise. Wait drug bill dream audience build system.,bsavage,2020-07-05 15:55:13,3030,261,863842
55,Recognize learn model among year. Use head kitchen boy ball opportunity movie.,anthonyhernandez,2020-03-08 21:13:36,353,1292,272231
56,"Let new wear method. General college program.
Article appear wall positive plan pay officer. Finish idea store region interesting answer.",whernandez,2021-11-18 05:50:05,3374,842,108878
57,National war inside yard range everyone. Computer speech news peace service should amount walk.,christina93,2022-09-13 21:29:11,3057,1256,169159
58,Measure price within trip. Recently computer seat level city. Many fact save like.,uhall,2022-08-14 14:10:47,4992,1863,845436
59,Just wife continue summer behind. Table law choice skill. Town half since action very.,brenda07,2020-02-01 16:25:26,4292,591,734482
